Date,CL Spot Price
6/15/2017,44.47
6/16/2017,44.73
6/19/2017,44.24
6/20/2017,43.34
6/21/2017,42.48
6/22/2017,42.53
6/23/2017,42.86
6/26/2017,43.24
6/27/2017,44.25
6/28/2017,44.74
6/29/2017,44.88
6/30/2017,46.02
7/5/2017,45.11
7/6/2017,45.52
7/7/2017,44.25
7/10/2017,44.4
7/11/2017,45.06
7/12/2017,45.48
7/13/2017,46.06
7/14/2017,46.53
7/17/2017,46.02
7/18/2017,46.4
7/19/2017,47.1
7/20/2017,46.73
7/21/2017,45.78
7/24/2017,46.21
7/25/2017,47.77
7/26/2017,48.58
7/27/2017,49.05
7/28/2017,49.72
7/31/2017,50.21
8/1/2017,49.19
8/2/2017,49.6
8/3/2017,49.03
8/4/2017,49.57
8/7/2017,49.37
8/8/2017,49.07
8/9/2017,49.59
8/10/2017,48.54
8/11/2017,48.81
8/14/2017,47.59
8/15/2017,47.57
8/16/2017,46.8
8/17/2017,47.07
8/18/2017,48.59
8/21/2017,47.39
8/22/2017,47.65
8/23/2017,48.45
8/24/2017,47.24
8/25/2017,47.65
8/28/2017,46.4
8/29/2017,46.46
8/30/2017,45.96
8/31/2017,47.26
9/5/2017,48.63
9/6/2017,49.13
9/7/2017,49.1
9/8/2017,47.44
9/11/2017,48.06
9/12/2017,48.21
9/13/2017,49.3
9/14/2017,49.86
9/15/2017,49.9
9/18/2017,49.88
9/19/2017,49.54
9/20/2017,50.29
9/21/2017,50.58
9/22/2017,50.33
9/25/2017,51.85
9/26/2017,51.59
9/27/2017,52.14
9/28/2017,51.62
9/29/2017,51.67
10/2/2017,50.59
10/3/2017,50.44
10/4/2017,50
10/5/2017,50.79
10/10/2017,50.93
10/11/2017,51.3
10/12/2017,50.61
10/13/2017,51.43
10/16/2017,51.86
10/17/2017,51.87
10/18/2017,52.05
10/19/2017,51.29
10/20/2017,51.63
10/23/2017,51.91
10/24/2017,52.32
10/25/2017,51.97
10/26/2017,52.41
10/27/2017,53.92
10/30/2017,54.11
10/31/2017,54.36
11/1/2017,54.32
11/2/2017,54.55
11/3/2017,55.63
11/6/2017,57.34
11/7/2017,57.19
11/8/2017,56.82
11/13/2017,56.77
11/14/2017,55.67
11/15/2017,55.28
11/16/2017,55.14
11/17/2017,56.21
11/20/2017,56.21
11/21/2017,56.84
11/27/2017,58.1
11/28/2017,57.96
11/29/2017,57.25
11/30/2017,57.4
12/1/2017,58.35
12/4/2017,57.48
12/5/2017,57.66
12/6/2017,55.79
12/7/2017,56.5
12/8/2017,57.15
12/11/2017,57.84
12/12/2017,57.12
12/13/2017,56.59
12/14/2017,57
12/15/2017,57.29
12/18/2017,57.17
12/19/2017,57.49
12/20/2017,58.09
12/21/2017,58.34
12/22/2017,58.25
12/26/2017,59.55
12/27/2017,59.67
12/28/2017,59.84
12/29/2017,60.46
1/2/2018,60.37
1/3/2018,61.61
1/4/2018,61.98
1/5/2018,61.49
1/8/2018,61.73
1/9/2018,62.92
1/10/2018,63.6
1/11/2018,63.81
1/12/2018,64.22
1/16/2018,63.82
1/17/2018,63.92
1/18/2018,63.96
1/19/2018,63.38
1/22/2018,63.66
1/23/2018,64.45
1/24/2018,65.69
1/25/2018,65.62
1/26/2018,66.27
1/29/2018,65.71
1/30/2018,64.64
1/31/2018,64.82
2/1/2018,65.92
2/2/2018,65.5
2/5/2018,64.18
2/6/2018,63.48
2/7/2018,61.91
2/8/2018,61.3
2/9/2018,59.2
2/12/2018,59.41
2/13/2018,59.33
2/14/2018,60.7
2/15/2018,61.48
2/16/2018,61.89
2/20/2018,61.91
2/21/2018,61.73
2/22/2018,62.72
2/23/2018,63.52
2/26/2018,63.81
2/27/2018,62.94
2/28/2018,61.43
3/1/2018,60.98
3/2/2018,61.19
3/5/2018,62.49
3/6/2018,62.54
3/7/2018,61.09
3/8/2018,60.13
3/9/2018,62.02
3/12/2018,61.35
3/13/2018,60.69
3/14/2018,60.89
3/15/2018,61.16
3/16/2018,62.29
3/19/2018,62.01
3/20/2018,63.37
3/21/2018,65.1
3/22/2018,64.25
3/23/2018,65.8
3/26/2018,65.49
3/27/2018,65.21
3/28/2018,64.3
3/29/2018,64.87
4/2/2018,63.05
4/3/2018,63.41
4/4/2018,63.35
4/5/2018,63.53
4/6/2018,62.03
4/9/2018,63.4
4/10/2018,65.48
4/11/2018,66.81
4/12/2018,67.07
4/13/2018,67.35
4/16/2018,66.23
4/17/2018,66.5
4/18/2018,68.44
4/19/2018,68.3
4/20/2018,68.26
4/23/2018,67.61
4/24/2018,67.66
4/25/2018,68
4/26/2018,68.18
4/27/2018,68.11
4/30/2018,68.56
5/1/2018,67.28
5/2/2018,67.91
5/3/2018,68.45
5/4/2018,69.71
5/7/2018,70.74
5/8/2018,68.83
5/9/2018,71.16
5/10/2018,71.36
5/11/2018,70.69
5/14/2018,71.01
5/15/2018,71.34
5/16/2018,71.43
5/17/2018,71.47
5/18/2018,71.23
5/21/2018,72.26
5/22/2018,72.09
5/23/2018,71.85
5/24/2018,70.77
5/25/2018,67.92
5/29/2018,66.8
5/30/2018,68.24
5/31/2018,66.98
6/1/2018,65.81
6/4/2018,64.76
6/5/2018,65.51
6/6/2018,64.75
6/7/2018,65.96
6/8/2018,65.77
6/11/2018,66.1
6/12/2018,66.38
6/13/2018,66.63
6/14/2018,66.91
6/15/2018,65.01
6/18/2018,65.91
6/19/2018,65.09
6/20/2018,65.92
6/21/2018,65.68
6/22/2018,69.02
6/25/2018,69.91
6/26/2018,75.23
6/27/2018,77.41
6/28/2018,73.45
6/29/2018,74.13
7/2/2018,73.89
7/3/2018,74.19
7/5/2018,73.05
7/6/2018,73.78
7/9/2018,73.93
7/10/2018,74.11
7/11/2018,70.47
7/12/2018,70.28
7/13/2018,71.03
7/16/2018,68.22
7/17/2018,68.03
7/18/2018,68.78
7/19/2018,69.42
7/20/2018,70.31
7/23/2018,67.9
7/24/2018,70.77
7/25/2018,71.13
7/26/2018,71.59
7/27/2018,68.66
7/30/2018,71.19
7/31/2018,69.88
8/1/2018,68.8
8/2/2018,68.95
8/3/2018,68.49
8/6/2018,69.01
8/7/2018,69.17
8/8/2018,66.92
8/9/2018,66.81
8/10/2018,67.61
8/13/2018,67.25
8/14/2018,67.04
8/15/2018,65.07
8/16/2018,65.44
8/17/2018,65.93
8/20/2018,66.5
8/21/2018,67.32
8/22/2018,67.85
8/23/2018,69.13
8/24/2018,69.71
8/27/2018,69.97
8/28/2018,68.54
8/29/2018,69.68
8/30/2018,70.25
8/31/2018,69.84
9/4/2018,69.82
9/5/2018,68.69
9/6/2018,67.81
9/7/2018,67.73
9/10/2018,67.55
9/11/2018,69.29
9/12/2018,70.37
9/13/2018,68.6
9/14/2018,68.98
9/17/2018,68.86
9/18/2018,69.87
9/19/2018,71.08
9/20/2018,70.77
9/21/2018,70.8
9/24/2018,73.23
9/25/2018,73.4
9/26/2018,72.22
9/27/2018,72.18
9/28/2018,73.16
10/1/2018,75.37
10/2/2018,75.16
10/3/2018,76.4
10/4/2018,74.44
10/5/2018,74.26
10/8/2018,74.27
10/9/2018,74.95
10/10/2018,73.18
10/11/2018,70.97
10/12/2018,71.41
10/15/2018,71.84
10/16/2018,71.93
10/17/2018,69.63
10/18/2018,68.63
10/19/2018,69.16
10/22/2018,69.25
10/23/2018,66.49
10/24/2018,66.56
10/25/2018,67.25
10/26/2018,67.58
10/29/2018,67
10/30/2018,66.18
10/31/2018,65.31
11/1/2018,63.67
11/2/2018,63.12
11/5/2018,63.12
11/6/2018,62.16
11/7/2018,61.69
11/8/2018,60.71
11/9/2018,60.19
11/12/2018,59.85
11/13/2018,55.63
11/14/2018,56.16
11/15/2018,56.45
11/16/2018,56.49
11/19/2018,57.16
11/20/2018,53.39
11/21/2018,54.41
11/26/2018,51.46
11/27/2018,51.31
11/28/2018,50.06
11/29/2018,51.46
11/30/2018,50.78
12/3/2018,52.98
12/4/2018,53.21
12/5/2018,52.64
12/6/2018,51.54
12/7/2018,52.76
12/10/2018,51.07
12/11/2018,51.65
12/12/2018,51.04
12/13/2018,52.69
12/14/2018,51.26
12/17/2018,49.8
12/18/2018,46.12
12/19/2018,47.96
12/20/2018,45.64
12/21/2018,45.38
12/26/2018,46.04
12/27/2018,44.48
12/28/2018,45.15
1/2/2019,46.31
1/3/2019,46.92
1/4/2019,47.76
1/7/2019,48.27
1/8/2019,49.58
1/9/2019,52.19
1/10/2019,52.42
1/11/2019,51.44
1/14/2019,50.31
1/15/2019,51.8
1/16/2019,52.08
1/17/2019,51.83
1/22/2019,52.59
1/23/2019,52.44
1/24/2019,52.94
1/25/2019,53.53
1/28/2019,51.79
1/29/2019,53.07
1/30/2019,54.18
1/31/2019,53.84
2/1/2019,55.29
2/4/2019,54.57
2/5/2019,53.69
2/6/2019,53.94
2/7/2019,52.68
2/8/2019,52.75
2/11/2019,52.43
2/12/2019,53.14
2/13/2019,53.84
2/14/2019,54.4
2/19/2019,56.12
2/20/2019,56.9
2/21/2019,56.95
2/22/2019,57.01
2/25/2019,55.32
2/26/2019,55.4
2/27/2019,56.92
2/28/2019,57.21
3/1/2019,55.76
3/4/2019,56.6
3/5/2019,56.55
3/6/2019,56.22
3/7/2019,56.6
3/8/2019,55.77
3/11/2019,56.79
3/12/2019,56.89
3/13/2019,58.27
3/14/2019,58.59
3/15/2019,58.51
3/18/2019,59.09
3/19/2019,59.12
3/20/2019,60.12
3/21/2019,59.98
3/22/2019,58.87
3/25/2019,58.71
3/26/2019,59.87
3/27/2019,59.39
3/28/2019,59.29
3/29/2019,60.19
4/1/2019,61.59
4/2/2019,62.53
4/3/2019,62.46
4/4/2019,62.12
4/5/2019,63.1
4/8/2019,64.37
4/9/2019,64.05
4/10/2019,64.62
4/11/2019,63.61
4/12/2019,63.86
4/15/2019,63.43
4/16/2019,64.01
4/17/2019,63.74
4/18/2019,64.02
4/22/2019,65.66
4/23/2019,66.24
4/24/2019,65.96
4/25/2019,65.23
4/26/2019,63.29
4/29/2019,63.39
4/30/2019,63.83
5/1/2019,63.55
5/2/2019,61.75
5/3/2019,61.98
5/6/2019,62.3
5/7/2019,61.41
5/8/2019,62.13
5/9/2019,61.58
5/10/2019,61.65
5/13/2019,60.97
5/14/2019,61.82
5/15/2019,62.03
5/16/2019,62.93
5/17/2019,62.77
5/20/2019,63.12
5/21/2019,63.02
5/22/2019,61.42
5/23/2019,57.65
5/24/2019,58.4
5/28/2019,58.91
5/29/2019,58.84
5/30/2019,56.47
5/31/2019,53.49
6/3/2019,53.25
6/4/2019,53.5
6/5/2019,51.57
6/6/2019,52.59
6/7/2019,53.95
6/10/2019,53.33
6/11/2019,53.3
6/12/2019,51.13
6/13/2019,52.38
6/14/2019,52.47
6/17/2019,51.94
6/18/2019,53.86
6/19/2019,53.74
6/20/2019,56.88
6/21/2019,57.35
6/24/2019,57.73
6/25/2019,57.63
6/26/2019,59.17
6/27/2019,59.18
6/28/2019,58.2
7/1/2019,58.91
7/2/2019,56
7/8/2019,57.35
7/9/2019,57.57
7/10/2019,60.28
7/11/2019,59.93
7/12/2019,59.99
7/15/2019,59.3
7/16/2019,57.44
7/17/2019,56.5
7/18/2019,55.08
7/19/2019,55.42
7/22/2019,55.87
7/23/2019,56.58
7/24/2019,55.9
7/25/2019,55.88
7/26/2019,56.04
7/29/2019,56.85
7/30/2019,58.04
7/31/2019,58.53
8/1/2019,53.64
8/2/2019,55.67
8/5/2019,54.63
8/6/2019,53.6
8/7/2019,51.14
8/8/2019,52.6
8/9/2019,54.41
8/12/2019,54.98
8/13/2019,57.05
8/14/2019,55.16
8/15/2019,54.51
8/16/2019,54.83
8/19/2019,56.24
8/20/2019,56.18
8/21/2019,55.65
8/22/2019,55.33
8/23/2019,54.08
8/26/2019,53.54
8/27/2019,54.99
8/28/2019,55.76
8/29/2019,56.67
9/3/2019,53.91
9/4/2019,56.22
9/5/2019,56.33
9/6/2019,56.45
9/9/2019,57.88
9/10/2019,57.37
9/11/2019,55.66
9/12/2019,55.13
9/13/2019,54.76
9/16/2019,63.1
9/17/2019,59.26
9/18/2019,58.19
9/19/2019,58.19
9/20/2019,57.92
9/23/2019,58.69
9/24/2019,57.22
9/25/2019,56.38
9/26/2019,56.24
9/27/2019,55.95
9/30/2019,54.09
10/1/2019,53.6
10/2/2019,52.67
10/3/2019,52.41
10/4/2019,52.84
10/7/2019,52.76
10/8/2019,52.64
10/9/2019,52.63
10/10/2019,53.57
10/11/2019,54.76
10/14/2019,53.57
10/15/2019,52.81
10/16/2019,53.42
10/17/2019,53.89
10/18/2019,53.75
10/21/2019,53.28
10/22/2019,54.21
10/23/2019,55.9
10/24/2019,56.11
10/25/2019,56.52
10/28/2019,55.6
10/29/2019,55.34
10/30/2019,54.85
10/31/2019,54.02
11/1/2019,56.04
11/4/2019,56.33
11/5/2019,57.04
11/6/2019,56.15
11/7/2019,56.91
11/12/2019,56.67
11/13/2019,56.88
11/14/2019,56.57
11/15/2019,57.54
11/18/2019,56.82
11/19/2019,54.93
11/20/2019,56.71
11/21/2019,58.36
11/22/2019,57.68
11/25/2019,57.79
11/26/2019,58.25
11/27/2019,58.12
11/29/2019,58.12
12/2/2019,55.97
12/3/2019,56.15
12/4/2019,58.46
12/5/2019,58.42
12/6/2019,59.2
12/9/2019,58.99
12/10/2019,59.22
12/11/2019,58.74
12/12/2019,59.18
12/13/2019,60.11
12/16/2019,60.21
12/17/2019,60.88
12/18/2019,60.93
12/19/2019,61.3
12/20/2019,60.43
12/23/2019,60.51
12/24/2019,61.17
12/26/2019,61.72
12/27/2019,61.76
12/30/2019,61.66
12/31/2019,61.14
1/2/2020,61.17
1/3/2020,63
1/6/2020,63.27
1/7/2020,62.7
1/8/2020,59.65
1/9/2020,59.56
1/10/2020,59.02
1/13/2020,58.17
1/14/2020,58.34
1/15/2020,57.86
1/16/2020,58.52
1/21/2020,58.25
1/22/2020,56.76
1/23/2020,55.51
1/24/2020,54.09
1/27/2020,53.09
1/28/2020,53.33
1/29/2020,53.29
1/30/2020,52.19
1/31/2020,51.58
2/3/2020,50.06
2/4/2020,49.59
2/5/2020,50.87
2/6/2020,50.94
2/7/2020,50.34
2/10/2020,49.59
2/11/2020,50
2/12/2020,51.13
2/13/2020,51.41
2/18/2020,52.1
2/19/2020,53.31
2/20/2020,53.77
2/21/2020,53.36
2/24/2020,51.36
2/25/2020,49.78
2/26/2020,48.67
2/27/2020,47.17
2/28/2020,44.83
3/2/2020,46.78
3/3/2020,47.27
3/4/2020,46.78
3/5/2020,45.9
3/6/2020,41.14
3/9/2020,31.05
3/10/2020,34.47
3/11/2020,33.13
3/12/2020,31.56
3/13/2020,31.72
3/16/2020,28.96
3/17/2020,26.96
3/18/2020,20.48
3/19/2020,25.09
3/20/2020,19.48
3/23/2020,23.33
3/24/2020,21.03
3/25/2020,20.75
3/26/2020,16.6
3/27/2020,15.48
3/30/2020,14.1
3/31/2020,20.51
4/1/2020,20.28
4/2/2020,25.18
4/3/2020,28.36
4/6/2020,26.21
4/7/2020,23.54
4/8/2020,24.97
4/9/2020,22.9
4/13/2020,22.36
4/14/2020,20.15
4/15/2020,19.96
4/16/2020,19.82
4/17/2020,18.31
4/20/2020,-36.98
4/21/2020,8.91
4/22/2020,13.64
4/23/2020,15.06
4/24/2020,15.99
4/27/2020,12.17
4/28/2020,12.4
4/29/2020,15.04
4/30/2020,19.23
5/1/2020,19.72
5/4/2020,20.47
5/5/2020,24.56
5/6/2020,23.88
5/7/2020,23.68
5/8/2020,24.73
5/11/2020,24.02
5/12/2020,25.76
5/13/2020,25.37
5/14/2020,27.4
5/15/2020,29.44
5/18/2020,31.83
5/19/2020,32.3
5/20/2020,33.56
5/21/2020,34.3
5/22/2020,33.49
5/26/2020,34.7
5/27/2020,32.8
5/28/2020,33.67
5/29/2020,35.57
6/1/2020,35.49
6/2/2020,36.88
6/3/2020,37.33
6/4/2020,37.42
6/5/2020,39.49
6/8/2020,38.17
6/9/2020,38.98
6/10/2020,39.54
6/11/2020,36.43
6/12/2020,36.24
6/15/2020,37.07
6/16/2020,38.26
6/17/2020,37.91
6/18/2020,38.79
6/19/2020,39.72
6/22/2020,40.6
6/23/2020,40.4
6/24/2020,37.91
6/25/2020,38.66
6/26/2020,38.53
6/29/2020,39.67
6/30/2020,39.27
7/1/2020,39.88
7/6/2020,40.51
7/7/2020,40.59
7/8/2020,40.91
7/9/2020,39.64
7/10/2020,40.56
7/13/2020,40.06
7/14/2020,40.3
7/15/2020,41.2
7/16/2020,40.74
7/17/2020,40.55
7/20/2020,40.83
7/21/2020,41.76
7/22/2020,41.88
7/23/2020,40.99
7/24/2020,41.23
7/27/2020,41.46
7/28/2020,40.89
7/29/2020,41.13
7/30/2020,39.85
7/31/2020,40.1
8/3/2020,40.83
8/4/2020,41.67
8/5/2020,42.25
8/6/2020,41.93
8/7/2020,41.16
8/10/2020,41.94
8/11/2020,41.53
8/12/2020,42.6
8/13/2020,42.26
8/14/2020,42.05
8/17/2020,42.89
8/18/2020,42.89
8/19/2020,42.91
8/20/2020,42.62
8/21/2020,42.32
8/24/2020,42.44
8/25/2020,43.17
8/26/2020,43.21
8/27/2020,42.88
8/28/2020,42.96
8/31/2020,42.61
9/1/2020,42.76
9/2/2020,42.76
9/3/2020,41.39
9/8/2020,36.87
9/9/2020,38.05
9/10/2020,37.25
9/11/2020,37.33
9/14/2020,37.23
9/15/2020,38.29
9/16/2020,40.17
9/17/2020,40.99
9/18/2020,41.09
9/21/2020,39.26
9/22/2020,39.55
9/23/2020,39.92
9/24/2020,40.11
9/25/2020,40.06
9/28/2020,40.47
9/29/2020,39.03
9/30/2020,40.05
10/1/2020,38.51
10/2/2020,36.9
10/5/2020,39.12
10/6/2020,40.52
10/7/2020,39.82
10/8/2020,41.04
10/9/2020,40.44
10/12/2020,39.22
10/13/2020,40.03
10/14/2020,40.86
10/15/2020,40.84
10/16/2020,40.7
10/19/2020,40.69
10/20/2020,41.37
10/21/2020,39.88
10/22/2020,40.46
10/23/2020,39.73
10/26/2020,38.39
10/27/2020,39.34
10/28/2020,37.27
10/29/2020,35.94
10/30/2020,35.64
11/2/2020,36.6
11/3/2020,37.44
11/4/2020,38.97
11/5/2020,38.56
11/6/2020,36.97
11/9/2020,40.05
11/10/2020,41.18
11/11/2020,41.23
11/12/2020,40.9
11/13/2020,39.93
11/16/2020,41.14
11/17/2020,41.24
11/18/2020,41.64
11/19/2020,41.57
11/20/2020,41.99
11/23/2020,42.91
11/24/2020,44.71
11/30/2020,45.2
12/1/2020,44.54
12/2/2020,45.23
12/3/2020,45.65
12/4/2020,46.23
12/7/2020,45.72
12/8/2020,45.64
12/9/2020,45.48
12/10/2020,46.76
12/11/2020,46.59
12/14/2020,47.02
12/15/2020,47.58
12/16/2020,47.86
12/17/2020,48.34
12/18/2020,49.04
12/21/2020,47.79
12/22/2020,47.02
12/23/2020,47.94
12/24/2020,48.18
12/28/2020,47.5
12/29/2020,47.85
12/30/2020,48.24
12/31/2020,48.35
1/4/2021,47.47
1/5/2021,49.78
1/6/2021,50.45
1/7/2021,50.63
1/8/2021,52.14
1/11/2021,52.15
1/12/2021,53.08
1/13/2021,52.81
1/14/2021,53.47
1/19/2021,52.87
1/20/2021,53.16
1/21/2021,53
1/22/2021,52.28
1/25/2021,52.78
1/26/2021,52.61
1/27/2021,52.81
1/28/2021,52.26
1/29/2021,52.16
2/1/2021,53.55
2/2/2021,54.77
2/3/2021,55.67
2/4/2021,56.19
2/5/2021,56.8
2/8/2021,57.95
2/9/2021,58.34
2/10/2021,58.69
2/11/2021,58.22
2/16/2021,60.07
2/17/2021,61.09
2/18/2021,60.4
2/19/2021,59.12
2/22/2021,61.67
2/23/2021,61.66
2/24/2021,63.21
2/25/2021,63.43
2/26/2021,61.55
3/1/2021,60.54
3/2/2021,59.7
3/3/2021,61.33
3/4/2021,63.81
3/5/2021,66.08
3/8/2021,65.03
3/9/2021,64.02
3/10/2021,64.45
3/11/2021,66.02
3/12/2021,65.59
3/15/2021,65.36
3/16/2021,64.82
3/17/2021,64.55
3/18/2021,59.95
3/19/2021,61.43
3/22/2021,61.48
3/23/2021,57.75
3/24/2021,61.12
3/25/2021,58.47
3/26/2021,60.93
3/29/2021,61.49
3/30/2021,60.55
3/31/2021,59.19
4/1/2021,61.41
4/5/2021,58.73
4/6/2021,59.34
4/7/2021,59.77
4/8/2021,59.61
4/9/2021,59.29
4/12/2021,59.7
4/13/2021,60.2
4/14/2021,63.15
4/15/2021,63.42
4/16/2021,63.16
4/19/2021,63.33
4/20/2021,62.61
4/21/2021,61.34
4/22/2021,61.45
4/23/2021,62.18
4/26/2021,62.02
4/27/2021,63.03
4/28/2021,63.81
4/29/2021,65
4/30/2021,63.5
5/3/2021,64.46
5/4/2021,65.72
5/5/2021,65.63
5/6/2021,64.73
5/7/2021,64.96
5/10/2021,64.92
5/11/2021,65.31
5/12/2021,65.96
5/13/2021,63.82
5/14/2021,65.32
5/17/2021,66.24
5/18/2021,65.49
5/19/2021,63.28
5/20/2021,61.95
5/21/2021,63.61
5/24/2021,66.13
5/25/2021,66.27
5/26/2021,66.41
5/27/2021,66.87
5/28/2021,66.31
6/1/2021,67.8
6/2/2021,68.79
6/3/2021,68.81
6/4/2021,69.57
6/7/2021,69.21
6/8/2021,70.11
6/9/2021,69.9
6/10/2021,70.34
6/11/2021,71
6/14/2021,70.94
6/15/2021,72.06
6/16/2021,72.03
6/17/2021,71.06
6/18/2021,71.64
6/21/2021,73.64
6/22/2021,73.15
6/23/2021,73.11
6/24/2021,73.31
6/25/2021,74.21
6/28/2021,72.98
6/29/2021,73.14
6/30/2021,73.52
7/1/2021,75.33
7/6/2021,73.62
7/7/2021,72.22
7/8/2021,72.98
7/9/2021,74.56
7/12/2021,74.21
7/13/2021,75.24
7/14/2021,73.06
7/15/2021,71.67
7/16/2021,71.76
7/19/2021,66.45
7/20/2021,67.32
7/21/2021,70.26
7/22/2021,72.15
7/23/2021,72.24
7/26/2021,72.15
7/27/2021,71.68
7/28/2021,72.37
7/29/2021,73.62
7/30/2021,73.93
8/2/2021,71.31
8/3/2021,70.64
8/4/2021,68.19
8/5/2021,69.1
8/6/2021,68.26
8/9/2021,66.56
8/10/2021,68.33
8/11/2021,69.3
8/12/2021,69.12
8/13/2021,68.36
8/16/2021,67.44
8/17/2021,66.5
8/18/2021,65.36
8/19/2021,63.69
8/20/2021,62.25
8/23/2021,65.65
8/24/2021,67.5
8/25/2021,68.54
8/26/2021,67.42
8/27/2021,68.84
8/30/2021,69.28
8/31/2021,68.43
9/1/2021,68.63
9/2/2021,70.07
9/7/2021,68.49
9/8/2021,69.36
9/9/2021,68.26
9/10/2021,69.82
9/13/2021,70.54
9/14/2021,70.53
9/15/2021,72.59
9/16/2021,72.69
9/17/2021,72.09
9/20/2021,70.41
9/21/2021,70.51
9/22/2021,72.37
9/23/2021,73.43
9/24/2021,74.18
9/27/2021,75.54
9/28/2021,75.44
9/29/2021,75.06
9/30/2021,75.22
10/1/2021,76.01
10/4/2021,77.68
10/5/2021,79.17
10/6/2021,77.66
10/7/2021,78.46
10/8/2021,79.55
10/11/2021,80.64
10/12/2021,80.75
10/13/2021,80.67
10/14/2021,81.43
10/15/2021,82.39
10/18/2021,82.62
10/19/2021,83.19
10/20/2021,84.4
10/21/2021,82.64
10/22/2021,84.53
10/25/2021,84.64
10/26/2021,85.64
10/27/2021,82.66
10/28/2021,82.78
10/29/2021,83.5
11/1/2021,84.08
11/2/2021,83.91
11/3/2021,80.82
11/4/2021,78.88
11/5/2021,81.25
11/8/2021,81.96
11/9/2021,84.12
11/10/2021,81.23
11/11/2021,81.47
11/12/2021,80.87
11/15/2021,80.85
11/16/2021,80.76
11/17/2021,78.32
11/18/2021,78.92
11/19/2021,76.11
11/22/2021,76.74
11/23/2021,78.32
11/29/2021,69.88
11/30/2021,66.14
12/1/2021,65.44
12/2/2021,66.6
12/3/2021,66.39
12/6/2021,69.62
12/7/2021,71.94
12/8/2021,72.43
12/9/2021,70.87
12/10/2021,71.71
12/13/2021,71.19
12/14/2021,70.57
12/15/2021,70.89
12/16/2021,72.34
12/17/2021,70.93
12/20/2021,68.69
12/21/2021,71.1
12/22/2021,72.82
12/27/2021,75.49
12/28/2021,76.01
12/29/2021,76.58
12/30/2021,76.83
12/31/2021,75.33
1/3/2022,75.99
1/4/2022,77
1/5/2022,77.83
1/6/2022,79.47
1/7/2022,79
1/10/2022,78.11
1/11/2022,81.17
1/12/2022,82.51
1/13/2022,81.97
1/18/2022,85.42
1/19/2022,86.84
1/20/2022,86.29
1/21/2022,85.16
1/24/2022,84.48
1/25/2022,86.61
1/26/2022,88.33
1/27/2022,87.61
1/28/2022,87.67
1/31/2022,89.16
2/1/2022,88.22
2/2/2022,88.16
2/3/2022,90.17
2/4/2022,92.27
2/7/2022,91.25
2/8/2022,89.32
2/9/2022,89.57
2/10/2022,89.83
2/11/2022,93.1
2/14/2022,95.52
2/15/2022,92.07
2/16/2022,93.83
2/17/2022,91.78
2/22/2022,92.11
2/23/2022,92.14
2/24/2022,92.77
2/25/2022,91.68
2/28/2022,96.13
3/1/2022,103.66
3/2/2022,110.74
3/3/2022,107.69
3/4/2022,115.77
3/7/2022,119.26
3/8/2022,123.64
3/9/2022,108.81
3/10/2022,105.93
3/11/2022,109.31
3/14/2022,103.22
3/15/2022,96.42
3/16/2022,94.85
3/17/2022,102.97
3/18/2022,104.69
3/21/2022,112.14
3/22/2022,111.03
3/23/2022,114.89
3/24/2022,114.2
3/25/2022,116.2
3/28/2022,107.55
3/29/2022,104.25
3/30/2022,107.81
3/31/2022,100.53
4/1/2022,99.32
4/4/2022,103.29
4/5/2022,101.98
4/6/2022,96.39
4/7/2022,96.05
4/8/2022,98.35
4/11/2022,94.22
4/12/2022,100.52
4/13/2022,104.26
4/14/2022,106.84
4/18/2022,108.24
4/19/2022,102.54
4/20/2022,102.56
4/21/2022,103.89
4/22/2022,102.86
4/25/2022,99.6
4/26/2022,102.62
4/27/2022,101.96
4/28/2022,105.47
4/29/2022,104.59
5/2/2022,105.18
5/3/2022,102.53
5/4/2022,107.84
5/5/2022,108.17
5/6/2022,109.72
5/9/2022,103.08
5/10/2022,99.74
5/11/2022,105.5
5/12/2022,106.15
5/13/2022,110.52
5/16/2022,114.07
5/17/2022,112.31
5/18/2022,109.67
5/19/2022,112.21
5/20/2022,112.63
5/23/2022,110.32
5/24/2022,112.55
5/25/2022,112.88
5/26/2022,116.19
5/31/2022,114.38
6/1/2022,115.26
6/2/2022,116.88
6/3/2022,118.97
6/6/2022,118.41
6/7/2022,119.55
6/8/2022,121.94
6/9/2022,121.52
6/10/2022,120.73
6/13/2022,120.92
6/14/2022,118.92
6/15/2022,115.32
6/16/2022,117.56
6/21/2022,110.49
6/22/2022,106.22
6/23/2022,105.75
6/24/2022,109.07
6/27/2022,111.44
6/28/2022,113.66
6/29/2022,111.65
6/30/2022,107.76
7/5/2022,101.55
7/6/2022,100.31
7/7/2022,104.62
7/8/2022,106.78
7/11/2022,106.09
7/12/2022,97.69
7/13/2022,98.44
7/14/2022,97.79
7/15/2022,99.59
7/18/2022,104.48
7/19/2022,106.12
7/20/2022,104.45
7/21/2022,98.44
7/22/2022,97.71
7/25/2022,99.83
7/26/2022,97.74
7/27/2022,100.03
7/28/2022,99.11
7/29/2022,101.31
8/1/2022,96.59
8/2/2022,97.14
8/3/2022,93.25
8/4/2022,91.29
8/5/2022,91.77
8/8/2022,93.52
8/9/2022,93.18
8/10/2022,94.68
8/11/2022,97.02
8/12/2022,94.86
8/15/2022,92.24
8/16/2022,89.23
8/17/2022,90.85
8/18/2022,93.2
8/19/2022,93.55
8/22/2022,93.42
8/23/2022,96.46
8/24/2022,95.52
